Temperature	0.0uM_1	0.0uM_2	
46.48399	0.124794	0.129034
46.503677	0.125258	0.129487
46.523365	0.125724	0.129941
46.543053	0.12619	0.130396
46.562744	0.126658	0.130851
46.58243	0.127127	0.131308
46.60212	0.127597	0.131765
46.621807	0.128068	0.132223
46.641495	0.12854	0.132682
46.661186	0.129013	0.133142
46.680874	0.129487	0.133602
46.70056	0.129962	0.134064
46.72025	0.130438	0.134526
46.739937	0.130915	0.134989
46.759624	0.131393	0.135453
46.779316	0.131872	0.135918
46.799004	0.132352	0.136383
46.81869	0.132833	0.13685
46.83838	0.133315	0.137317
46.858067	0.133797	0.137785
46.877758	0.134281	0.138254
46.897446	0.134765	0.138724
46.917133	0.13525	0.139195
46.93682	0.135737	0.139666
46.95651	0.136224	0.140139
46.9762	0.136712	0.140612
46.995888	0.1372	0.141087
47.015575	0.13769	0.141562
47.035263	0.13818	0.142038
47.05495	0.138672	0.142515
47.074642	0.139164	0.142992
47.09433	0.139657	0.143471
47.114017	0.140151	0.143951
47.133705	0.140646	0.144431
47.153393	0.141142	0.144912
47.17308	0.141638	0.145395
47.192772	0.142136	0.145878
47.21246	0.142635	0.146362
47.232147	0.143134	0.146847
47.251835	0.143635	0.147332
47.271523	0.144136	0.147819
47.291214	0.144638	0.148307
47.3109	0.145141	0.148795
47.33059	0.145646	0.149284
47.350277	0.146151	0.149774
47.369965	0.146657	0.150266
47.389656	0.147164	0.150757
47.409344	0.147673	0.15125
47.42903	0.148182	0.151744
47.44872	0.148692	0.152239
47.468407	0.149204	0.152734
47.488094	0.149716	0.153231
47.507786	0.15023	0.153728
47.527473	0.150744	0.154226
47.54716	0.15126	0.154726
47.56685	0.151777	0.155226
47.586536	0.152295	0.155727
47.606228	0.152813	0.156229
47.625916	0.153333	0.156732
47.645603	0.153854	0.157236
47.66529	0.154376	0.15774
47.68498	0.154899	0.158246
47.70467	0.155423	0.158753
47.724358	0.155949	0.15926
47.744045	0.156475	0.159769
47.763733	0.157002	0.160278
47.78342	0.157531	0.160789
47.80311	0.15806	0.1613
47.8228	0.158591	0.161812
47.842487	0.159123	0.162326
47.862175	0.159655	0.16284
47.881863	0.160189	0.163356
47.90155	0.160724	0.163872
47.92124	0.16126	0.16439
47.94093	0.161797	0.164908
47.960617	0.162335	0.165428
47.980305	0.162875	0.165948
47.999992	0.163415	0.16647
48.019684	0.163956	0.166993
48.03937	0.164499	0.167517
48.05906	0.165042	0.168042
48.078747	0.165587	0.168568
48.098434	0.166133	0.169095
48.118126	0.16668	0.169624
48.137814	0.167228	0.170154
48.1575	0.167777	0.170684
48.17719	0.168328	0.171216
48.196877	0.168879	0.17175
48.216564	0.169432	0.172284
48.236256	0.169985	0.17282
48.255943	0.17054	0.173357
48.27563	0.171096	0.173895
48.29532	0.171653	0.174434
48.315006	0.172211	0.174975
48.334698	0.172771	0.175517
48.354385	0.173332	0.17606
48.374073	0.173893	0.176605
48.39376	0.174456	0.177151
48.41345	0.17502	0.177698
48.43314	0.175585	0.178247
48.452827	0.176152	0.178797
48.472515	0.176719	0.179348
48.492203	0.177288	0.179901
48.51189	0.177858	0.180456
48.531578	0.178429	0.181011
48.55127	0.179001	0.181568
48.570957	0.179574	0.182127
48.590645	0.180148	0.182687
48.610332	0.180724	0.183248
48.63002	0.181301	0.183811
48.64971	0.181879	0.184376
48.6694	0.182458	0.184941
48.689087	0.183038	0.185508
48.708775	0.18362	0.186077
48.728462	0.184202	0.186647
48.748154	0.184786	0.187218
48.76784	0.185371	0.187791
48.78753	0.185958	0.188365
48.807217	0.186545	0.188941
48.826904	0.187134	0.189518
48.846592	0.187724	0.190097
48.866283	0.188315	0.190677
48.88597	0.188908	0.191258
48.90566	0.189501	0.191841
48.925346	0.190096	0.192425
48.945034	0.190693	0.193011
48.964725	0.19129	0.193598
48.984413	0.191889	0.194187
49.0041	0.192489	0.194777
49.02379	0.193091	0.195369
49.043476	0.193693	0.195962
49.063168	0.194298	0.196557
49.082855	0.194903	0.197153
49.102543	0.19551	0.19775
49.12223	0.196118	0.198349
49.14192	0.196727	0.19895
49.16161	0.197338	0.199552
49.181297	0.19795	0.200156
49.200985	0.198564	0.200761
49.220673	0.199179	0.201367
49.24036	0.199795	0.201975
49.260048	0.200413	0.202585
49.27974	0.201032	0.203196
49.299427	0.201652	0.203808
49.319115	0.202274	0.204423
49.338802	0.202898	0.205038
49.35849	0.203522	0.205655
49.37818	0.204148	0.206274
49.39787	0.204776	0.206894
49.417557	0.205405	0.207516
49.437244	0.206035	0.208139
49.456932	0.206667	0.208764
49.476624	0.2073	0.20939
49.49631	0.207934	0.210017
49.516	0.20857	0.210647
49.535686	0.209208	0.211277
49.555374	0.209847	0.21191
49.57506	0.210487	0.212543
49.594753	0.211129	0.213178
49.61444	0.211772	0.213815
49.63413	0.212417	0.214453
49.653816	0.213063	0.215093
49.673504	0.21371	0.215734
49.693195	0.214359	0.216377
49.712883	0.21501	0.217021
49.73257	0.215662	0.217666
49.75226	0.216315	0.218313
49.771946	0.21697	0.218962
49.791637	0.21762600000000001	0.219612
49.811325	0.218283	0.220263
49.831013	0.218942	0.220916
49.8507	0.219602	0.221571
49.870388	0.220264	0.222227
49.890076	0.220927	0.222884
49.909767	0.221591	0.223543
49.929455	0.222256	0.224204
49.949142	0.222923	0.224865
49.96883	0.223592	0.225529
49.988518	0.224261	0.226193
50.00821	0.224932	0.226859
50.027897	0.225604	0.227527
50.047585	0.226278	0.228196
50.067272	0.226953	0.228866
